CO2,Borough,Sector
204,Barking and Dagenham,Domestic(CO2e)
552,Barnet,Domestic(CO2e)
316,Bexley,Domestic(CO2e)
384,Brent,Domestic(CO2e)
512,Bromley,Domestic(CO2e)
254,Camden,Domestic(CO2e)
11,City of London,Domestic(CO2e)
525,Croydon,Domestic(CO2e)
422,Ealing,Domestic(CO2e)
409,Enfield,Domestic(CO2e)
300,Greenwich,Domestic(CO2e)
262,Hackney,Domestic(CO2e)
228,Hammersmith and Fulham,Domestic(CO2e)
318,Haringey,Domestic(CO2e)
349,Harrow,Domestic(CO2e)
348,Havering,Domestic(CO2e)
375,Hillingdon,Domestic(CO2e)
309,Hounslow,Domestic(CO2e)
239,Islington,Domestic(CO2e)
236,Kensington and Chelsea,Domestic(CO2e)
227,Kingston,Domestic(CO2e)
361,Lambeth,Domestic(CO2e)
344,Lewisham,Domestic(CO2e)
274,Merton,Domestic(CO2e)
293,Newham,Domestic(CO2e)
365,Redbridge,Domestic(CO2e)
301,Richmond,Domestic(CO2e)
296,Southwark,Domestic(CO2e)
268,Sutton,Domestic(CO2e)
227,Tower Hamlets,Domestic(CO2e)
304,Waltham Forest,Domestic(CO2e)
399,Wandsworth,Domestic(CO2e)
282,Westminster,Domestic(CO2e)
,Unapportioned,Domestic(CO2e)
10495,Grand Total (kt),Domestic(CO2e)
125,Barking and Dagenham,Industrial_and_Commercial(CO2e)
203,Barnet,Industrial_and_Commercial(CO2e)
215,Bexley,Industrial_and_Commercial(CO2e)
293,Brent,Industrial_and_Commercial(CO2e)
154,Bromley,Industrial_and_Commercial(CO2e)
504,Camden,Industrial_and_Commercial(CO2e)
472,City of London,Industrial_and_Commercial(CO2e)
192,Croydon,Industrial_and_Commercial(CO2e)
298,Ealing,Industrial_and_Commercial(CO2e)
218,Enfield,Industrial_and_Commercial(CO2e)
188,Greenwich,Industrial_and_Commercial(CO2e)
174,Hackney,Industrial_and_Commercial(CO2e)
222,Hammersmith and Fulham,Industrial_and_Commercial(CO2e)
148,Haringey,Industrial_and_Commercial(CO2e)
83,Harrow,Industrial_and_Commercial(CO2e)
128,Havering,Industrial_and_Commercial(CO2e)
446,Hillingdon,Industrial_and_Commercial(CO2e)
279,Hounslow,Industrial_and_Commercial(CO2e)
239,Islington,Industrial_and_Commercial(CO2e)
319,Kensington and Chelsea,Industrial_and_Commercial(CO2e)
109,Kingston,Industrial_and_Commercial(CO2e)
239,Lambeth,Industrial_and_Commercial(CO2e)
104,Lewisham,Industrial_and_Commercial(CO2e)
143,Merton,Industrial_and_Commercial(CO2e)
357,Newham,Industrial_and_Commercial(CO2e)
103,Redbridge,Industrial_and_Commercial(CO2e)
108,Richmond,Industrial_and_Commercial(CO2e)
324,Southwark,Industrial_and_Commercial(CO2e)
132,Sutton,Industrial_and_Commercial(CO2e)
584,Tower Hamlets,Industrial_and_Commercial(CO2e)
116,Waltham Forest,Industrial_and_Commercial(CO2e)
195,Wandsworth,Industrial_and_Commercial(CO2e)
936,Westminster,Industrial_and_Commercial(CO2e)
9,Unapportioned,Industrial_and_Commercial(CO2e)
8358,Grand Total (kt),Industrial_and_Commercial(CO2e)
130,Barking and Dagenham,Transport (CO2e_or_CO2)
346,Barnet,Transport (CO2e_or_CO2)
192,Bexley,Transport (CO2e_or_CO2)
199,Brent,Transport (CO2e_or_CO2)
240,Bromley,Transport (CO2e_or_CO2)
142,Camden,Transport (CO2e_or_CO2)
41,City of London,Transport (CO2e_or_CO2)
225,Croydon,Transport (CO2e_or_CO2)
253,Ealing,Transport (CO2e_or_CO2)
361,Enfield,Transport (CO2e_or_CO2)
210,Greenwich,Transport (CO2e_or_CO2)
102,Hackney,Transport (CO2e_or_CO2)
107,Hammersmith and Fulham,Transport (CO2e_or_CO2)
121,Haringey,Transport (CO2e_or_CO2)
135,Harrow,Transport (CO2e_or_CO2)
380,Havering,Transport (CO2e_or_CO2)
670,Hillingdon,Transport (CO2e_or_CO2)
295,Hounslow,Transport (CO2e_or_CO2)
89,Islington,Transport (CO2e_or_CO2)
101,Kensington and Chelsea,Transport (CO2e_or_CO2)
125,Kingston,Transport (CO2e_or_CO2)
151,Lambeth,Transport (CO2e_or_CO2)
142,Lewisham,Transport (CO2e_or_CO2)
128,Merton,Transport (CO2e_or_CO2)
188,Newham,Transport (CO2e_or_CO2)
215,Redbridge,Transport (CO2e_or_CO2)
141,Richmond,Transport (CO2e_or_CO2)
145,Southwark,Transport (CO2e_or_CO2)
95,Sutton,Transport (CO2e_or_CO2)
163,Tower Hamlets,Transport (CO2e_or_CO2)
145,Waltham Forest,Transport (CO2e_or_CO2)
170,Wandsworth,Transport (CO2e_or_CO2)
199,Westminster,Transport (CO2e_or_CO2)
0,Unapportioned,Transport (CO2e_or_CO2)
6346,Grand Total (kt),Transport (CO2e_or_CO2)
3,Barking and Dagenham,NRMM(CO2e)
16,Barnet,NRMM(CO2e)
7,Bexley,NRMM(CO2e)
14,Brent,NRMM(CO2e)
9,Bromley,NRMM(CO2e)
35,Camden,NRMM(CO2e)
6,City of London,NRMM(CO2e)
22,Croydon,NRMM(CO2e)
22,Ealing,NRMM(CO2e)
5,Enfield,NRMM(CO2e)
8,Greenwich,NRMM(CO2e)
15,Hackney,NRMM(CO2e)
12,Hammersmith and Fulham,NRMM(CO2e)
8,Haringey,NRMM(CO2e)
9,Harrow,NRMM(CO2e)
6,Havering,NRMM(CO2e)
32,Hillingdon,NRMM(CO2e)
12,Hounslow,NRMM(CO2e)
10,Islington,NRMM(CO2e)
10,Kensington and Chelsea,NRMM(CO2e)
7,Kingston,NRMM(CO2e)
17,Lambeth,NRMM(CO2e)
8,Lewisham,NRMM(CO2e)
10,Merton,NRMM(CO2e)
12,Newham,NRMM(CO2e)
7,Redbridge,NRMM(CO2e)
7,Richmond,NRMM(CO2e)
17,Southwark,NRMM(CO2e)
6,Sutton,NRMM(CO2e)
22,Tower Hamlets,NRMM(CO2e)
8,Waltham Forest,NRMM(CO2e)
25,Wandsworth,NRMM(CO2e)
47,Westminster,NRMM(CO2e)
,Unapportioned,NRMM(CO2e)
455,Grand Total (kt),NRMM(CO2e)
,Barking and Dagenham,IPPU(CO2e)
,Barnet,IPPU(CO2e)
,Bexley,IPPU(CO2e)
,Brent,IPPU(CO2e)
,Bromley,IPPU(CO2e)
,Camden,IPPU(CO2e)
,City of London,IPPU(CO2e)
,Croydon,IPPU(CO2e)
,Ealing,IPPU(CO2e)
,Enfield,IPPU(CO2e)
,Greenwich,IPPU(CO2e)
,Hackney,IPPU(CO2e)
,Hammersmith and Fulham,IPPU(CO2e)
,Haringey,IPPU(CO2e)
,Harrow,IPPU(CO2e)
,Havering,IPPU(CO2e)
,Hillingdon,IPPU(CO2e)
,Hounslow,IPPU(CO2e)
,Islington,IPPU(CO2e)
,Kensington and Chelsea,IPPU(CO2e)
,Kingston,IPPU(CO2e)
,Lambeth,IPPU(CO2e)
,Lewisham,IPPU(CO2e)
,Merton,IPPU(CO2e)
,Newham,IPPU(CO2e)
,Redbridge,IPPU(CO2e)
,Richmond,IPPU(CO2e)
,Southwark,IPPU(CO2e)
,Sutton,IPPU(CO2e)
,Tower Hamlets,IPPU(CO2e)
,Waltham Forest,IPPU(CO2e)
,Wandsworth,IPPU(CO2e)
,Westminster,IPPU(CO2e)
1685,Unapportioned,IPPU(CO2e)
1685,Grand Total (kt),IPPU(CO2e)
,Barking and Dagenham,AFOLU(CO2e)
,Barnet,AFOLU(CO2e)
,Bexley,AFOLU(CO2e)
,Brent,AFOLU(CO2e)
,Bromley,AFOLU(CO2e)
,Camden,AFOLU(CO2e)
,City of London,AFOLU(CO2e)
,Croydon,AFOLU(CO2e)
,Ealing,AFOLU(CO2e)
,Enfield,AFOLU(CO2e)
,Greenwich,AFOLU(CO2e)
,Hackney,AFOLU(CO2e)
,Hammersmith and Fulham,AFOLU(CO2e)
,Haringey,AFOLU(CO2e)
,Harrow,AFOLU(CO2e)
,Havering,AFOLU(CO2e)
,Hillingdon,AFOLU(CO2e)
,Hounslow,AFOLU(CO2e)
,Islington,AFOLU(CO2e)
,Kensington and Chelsea,AFOLU(CO2e)
,Kingston,AFOLU(CO2e)
,Lambeth,AFOLU(CO2e)
,Lewisham,AFOLU(CO2e)
,Merton,AFOLU(CO2e)
,Newham,AFOLU(CO2e)
,Redbridge,AFOLU(CO2e)
,Richmond,AFOLU(CO2e)
,Southwark,AFOLU(CO2e)
,Sutton,AFOLU(CO2e)
,Tower Hamlets,AFOLU(CO2e)
,Waltham Forest,AFOLU(CO2e)
,Wandsworth,AFOLU(CO2e)
,Westminster,AFOLU(CO2e)
119,Unapportioned,AFOLU(CO2e)
119,Grand Total (kt),AFOLU(CO2e)
,Barking and Dagenham,Waste(CO2e)
,Barnet,Waste(CO2e)
,Bexley,Waste(CO2e)
,Brent,Waste(CO2e)
,Bromley,Waste(CO2e)
,Camden,Waste(CO2e)
,City of London,Waste(CO2e)
,Croydon,Waste(CO2e)
,Ealing,Waste(CO2e)
