,Total CO2/ CO2e emissions (kt),Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grand Total
,,Domestic (CO2e),,,,,,Industrial and Commercial (CO2e),,,,,,,Transport (CO2e or CO2),,,,,,,NRMM (CO2e),,,,IPPU (CO2e),AFOLU (CO2e),Waste (CO2e),Fugitive emissions (CO2e),
,,Electricity,Gas,Coal,Oil,Bioenergy and waste*,Total,Electricity,Electricity w/o rail & RT,Gas,Coal,Oil,Bioenergy and waste*,Total,Aviation,Shipping,Railways diesel,Railways electric,Road transport - fossil fuels,Road transport - electric,Total,Manufacturing industries , Construction,Ground activities - aviation,Total,,,,,
,Year,2020,2020,2020,2020,2020,,2020,2020,2020,2020,2020,2020,,2020,2020,2020,2020,2020,2020,,2020,2020,2020,,2020,2018,2020,2020,
E09000002,Barking and Dagenham,56 ,146 ,1 ,1 ,1 ,204 ,63 ,54 ,40 ,0 ,31 ,0 ,125 ,0 ,4 ,2 ,9 ,115 ,0 ,130 ,0 ,3 ,0 ,3 ,,,,,461.9835027
E09000003,Barnet,135 ,413 ,1 ,2 ,1 ,552 ,89 ,68 ,115 ,1 ,20 ,0 ,203 ,0 ,0 ,9 ,21 ,316 ,1 ,346 ,1 ,16 ,0 ,16 ,,,,,1117.685373
E09000004,Bexley,80 ,233 ,1 ,2 ,1 ,316 ,74 ,65 ,125 ,0 ,20 ,5 ,215 ,2 ,2 ,1 ,8 ,179 ,0 ,192 ,0 ,7 ,0 ,7 ,,,,,730.28219
E09000005,Brent,92 ,290 ,1 ,1 ,0 ,384 ,143 ,121 ,118 ,0 ,54 ,0 ,293 ,0 ,0 ,13 ,22 ,164 ,0 ,199 ,1 ,14 ,0 ,14 ,,,,,890.0413039
E09000006,Bromley,119 ,386 ,2 ,4 ,1 ,512 ,73 ,57 ,68 ,0 ,29 ,0 ,154 ,3 ,0 ,1 ,16 ,219 ,0 ,240 ,0 ,9 ,0 ,9 ,,,,,913.8967026
E09000007,Camden,74 ,178 ,0 ,2 ,0 ,254 ,221 ,198 ,287 ,0 ,19 ,0 ,504 ,0 ,0 ,11 ,23 ,108 ,1 ,142 ,1 ,34 ,0 ,35 ,,,,,934.7943072
E09000001,City of London,6 ,5 ,0 ,0 ,0 ,11 ,334 ,327 ,134 ,0 ,11 ,0 ,472 ,0 ,6 ,0 ,7 ,28 ,0 ,41 ,0 ,6 ,0 ,6 ,,,,,530.3166843
E09000008,Croydon,127 ,391 ,4 ,2 ,1 ,525 ,120 ,96 ,83 ,0 ,13 ,0 ,192 ,0 ,0 ,3 ,23 ,199 ,0 ,225 ,0 ,22 ,0 ,22 ,,,,,964.8806927
E09000009,Ealing,103 ,316 ,1 ,2 ,1 ,422 ,175 ,155 ,115 ,0 ,28 ,0 ,298 ,0 ,0 ,5 ,19 ,228 ,0 ,253 ,1 ,21 ,0 ,22 ,,,,,995.5278435
E09000010,Enfield,104 ,301 ,1 ,2 ,1 ,409 ,102 ,93 ,102 ,0 ,23 ,0 ,218 ,0 ,0 ,1 ,9 ,351 ,1 ,361 ,1 ,4 ,0 ,5 ,,,,,992.9473717
E09000011,Greenwich,81 ,217 ,1 ,1 ,0 ,300 ,82 ,74 ,96 ,0 ,19 ,0 ,188 ,1 ,3 ,1 ,8 ,197 ,0 ,210 ,1 ,8 ,0 ,8 ,,,,,707.4729804
E09000012,Hackney,75 ,185 ,0 ,1 ,0 ,262 ,101 ,93 ,68 ,0 ,13 ,0 ,174 ,0 ,0 ,1 ,8 ,93 ,0 ,102 ,0 ,15 ,0 ,15 ,,,,,553.6673815
E09000013,Hammersmith and Fulham,61 ,166 ,0 ,1 ,0 ,228 ,118 ,108 ,104 ,0 ,10 ,0 ,222 ,4 ,0 ,2 ,9 ,91 ,0 ,107 ,0 ,12 ,0 ,12 ,,,,,569.3242896
E09000014,Haringey,77 ,240 ,0 ,1 ,0 ,318 ,81 ,66 ,70 ,0 ,12 ,0 ,148 ,0 ,0 ,3 ,14 ,103 ,0 ,121 ,0 ,8 ,0 ,8 ,,,,,595.088363
E09000015,Harrow,76 ,271 ,1 ,1 ,0 ,349 ,37 ,27 ,46 ,0 ,10 ,0 ,83 ,0 ,0 ,5 ,11 ,119 ,0 ,135 ,0 ,9 ,0 ,9 ,,,,,574.9816328
E09000016,Havering,87 ,258 ,1 ,2 ,1 ,348 ,72 ,60 ,46 ,0 ,21 ,0 ,128 ,0 ,1 ,2 ,11 ,365 ,1 ,380 ,0 ,6 ,0 ,6 ,,,,,862.2861745
E09000017,Hillingdon,93 ,275 ,3 ,2 ,2 ,375 ,207 ,188 ,125 ,1 ,120 ,12 ,446 ,308 ,0 ,7 ,18 ,337 ,1 ,670 ,1 ,17 ,15 ,32 ,,,,,1523.381388
