Average of Gini index,Maximum-sugar-endowment,Initial-population
0.480637609,100,100
0.492832666,100,200
0.49104255,100,300
0.495438728,100,400
0.494562705,100,500
0.492606202,100,600
0.49480335,100,700
0.496375761,100,800
0.498115303,100,900
0.493249118,100,1000
0.473071502,200,100
0.471965931,200,200
0.473127773,200,300
0.474922527,200,400
0.477120004,200,500
0.474170444,200,600
0.481305322,200,700
0.480941302,200,800
0.480438696,200,900
0.479025311,200,1000
0.451303464,300,100
0.456994036,300,200
0.459712236,300,300
0.456503111,300,400
0.460208607,300,500
0.462018183,300,600
0.460387775,300,700
0.463380257,300,800
0.462938119,300,900
0.463682634,300,1000
0.440117463,400,100
0.44919302,400,200
0.445675552,400,300
0.44480576,400,400
0.445491816,400,500
0.447447019,400,600
0.446184193,400,700
0.448541755,400,800
0.449114288,400,900
0.447099822,400,1000
0.425489119,500,100
0.433967917,500,200
0.430431158,500,300
0.432754361,500,400
0.432457186,500,500
0.432966146,500,600
0.434561281,500,700
0.432140087,500,800
0.43659457,500,900
0.435857347,500,1000
