Gini_index,Maximum_sugar_endowment,Initial_population
0.324072767,100,100
0.355120366,100,200
0.383689718,100,300
0.394489033,100,400
0.370011311,100,500
0.331501676,100,600
0.304187284,100,700
0.316075577,100,800
0.337262,100,900
0.357077787,100,1000
0.344830582,200,100
0.358223357,200,200
0.380234161,200,300
0.387315666,200,400
0.373155205,200,500
0.338221027,200,600
0.31348535,200,700
0.313618236,200,800
0.328948458,200,900
0.347252994,200,1000
0.349050414,300,100
0.34998824,300,200
0.371143243,300,300
0.383740872,300,400
0.376562465,300,500
0.347474379,300,600
0.319882413,300,700
0.310573341,300,800
0.323747564,300,900
0.33960712,300,1000
0.354769689,400,100
0.345898846,400,200
0.364515099,400,300
0.377371582,400,400
0.375406192,400,500
0.351264722,400,600
0.325572068,400,700
0.311709563,400,800
0.31564244,400,900
0.329644446,400,1000
0.355699895,500,100
0.341010118,500,200
0.355811105,500,300
0.372736594,500,400
0.370540604,500,500
0.352977077,500,600
0.334375435,500,700
0.318758043,500,800
0.314568424,500,900
0.323001887,500,1000
